season,week,game_id,game_date,away_team,home_team,predicted_total,actual_total,total_abs_error,vegas_total,predicted_total_outcome,actual_total_outcome,total_pick_correct
2024,4,2024_04_NO_ATL,2024-09-29,NO,ATL,41.5,50,8.5,41.5,PUSH,OVER,
2024,4,2024_04_PHI_TB,2024-09-29,PHI,TB,42.0,49,7.0,42.0,PUSH,OVER,
2024,4,2024_04_PIT_IND,2024-09-29,PIT,IND,40.0,51,11.0,40.0,PUSH,OVER,
2024,4,2024_04_WAS_ARI,2024-09-29,WAS,ARI,49.0,56,7.0,49.0,PUSH,OVER,
2024,4,2024_04_SEA_DET,2024-09-30,SEA,DET,46.5,71,24.5,46.5,PUSH,OVER,
2024,4,2024_04_TEN_MIA,2024-09-30,TEN,MIA,37.0,43,6.0,37.0,PUSH,OVER,
2024,5,2024_05_TB_ATL,2024-10-03,TB,ATL,44.0,66,22.0,44.0,PUSH,OVER,
2024,5,2024_05_ARI_SF,2024-10-06,ARI,SF,48.5,47,1.5,48.5,PUSH,UNDER,
2024,5,2024_05_BAL_CIN,2024-10-06,BAL,CIN,48.5,79,30.5,48.5,PUSH,OVER,
2024,5,2024_05_BUF_HOU,2024-10-06,BUF,HOU,48.0,43,5.0,48.0,PUSH,UNDER,
2024,5,2024_05_CAR_CHI,2024-10-06,CAR,CHI,40.0,46,6.0,40.0,PUSH,OVER,
2024,5,2024_05_CLE_WAS,2024-10-06,CLE,WAS,44.0,47,3.0,44.0,PUSH,OVER,
2024,5,2024_05_DAL_PIT,2024-10-06,DAL,PIT,43.5,37,6.5,43.5,PUSH,UNDER,
2024,5,2024_05_GB_LA,2024-10-06,GB,LA,49.5,43,6.5,49.5,PUSH,UNDER,
2024,5,2024_05_IND_JAX,2024-10-06,IND,JAX,45.0,71,26.0,45.0,PUSH,OVER,
2024,5,2024_05_LV_DEN,2024-10-06,LV,DEN,36.0,52,16.0,36.0,PUSH,OVER,
2024,5,2024_05_MIA_NE,2024-10-06,MIA,NE,37.0,25,12.0,37.0,PUSH,UNDER,
2024,5,2024_05_NYG_SEA,2024-10-06,NYG,SEA,42.5,49,6.5,42.5,PUSH,OVER,
2024,5,2024_05_NYJ_MIN,2024-10-06,NYJ,MIN,42.0,40,2.0,42.0,PUSH,UNDER,
2024,5,2024_05_NO_KC,2024-10-07,NO,KC,43.0,39,4.0,43.0,PUSH,UNDER,
2024,6,2024_06_SF_SEA,2024-10-10,SF,SEA,49.0,60,11.0,49.0,PUSH,OVER,
2024,6,2024_06_ARI_GB,2024-10-13,ARI,GB,47.0,47,0.0,47.0,PUSH,PUSH,
2024,6,2024_06_ATL_CAR,2024-10-13,ATL,CAR,45.5,58,12.5,45.5,PUSH,OVER,
2024,6,2024_06_CIN_NYG,2024-10-13,CIN,NYG,46.0,24,22.0,46.0,PUSH,UNDER,
2024,6,2024_06_CLE_PHI,2024-10-13,CLE,PHI,42.0,36,6.0,42.0,PUSH,UNDER,
2024,6,2024_06_DET_DAL,2024-10-13,DET,DAL,52.5,56,3.5,52.5,PUSH,OVER,
2024,6,2024_06_HOU_NE,2024-10-13,HOU,NE,38.5,62,23.5,38.5,PUSH,OVER,
2024,6,2024_06_IND_TEN,2024-10-13,IND,TEN,42.0,37,5.0,42.0,PUSH,UNDER,
2024,6,2024_06_JAX_CHI,2024-10-13,JAX,CHI,44.5,51,6.5,44.5,PUSH,OVER,
2024,6,2024_06_LAC_DEN,2024-10-13,LAC,DEN,37.0,39,2.0,37.0,PUSH,OVER,
2024,6,2024_06_PIT_LV,2024-10-13,PIT,LV,36.5,45,8.5,36.5,PUSH,OVER,
2024,6,2024_06_TB_NO,2024-10-13,TB,NO,42.5,78,35.5,42.5,PUSH,OVER,
2024,6,2024_06_WAS_BAL,2024-10-13,WAS,BAL,51.5,53,1.5,51.5,PUSH,OVER,
2024,6,2024_06_BUF_NYJ,2024-10-14,BUF,NYJ,42.0,43,1.0,42.0,PUSH,OVER,
2024,7,2024_07_DEN_NO,2024-10-17,DEN,NO,37.0,43,6.0,37.0,PUSH,OVER,
2024,7,2024_07_CAR_WAS,2024-10-20,CAR,WAS,51.0,47,4.0,51.0,PUSH,UNDER,
2024,7,2024_07_CIN_CLE,2024-10-20,CIN,CLE,42.0,35,7.0,42.0,PUSH,UNDER,
2024,7,2024_07_DET_MIN,2024-10-20,DET,MIN,50.5,60,9.5,50.5,PUSH,OVER,
2024,7,2024_07_HOU_GB,2024-10-20,HOU,GB,48.0,46,2.0,48.0,PUSH,UNDER,
2024,7,2024_07_KC_SF,2024-10-20,KC,SF,47.5,46,1.5,47.5,PUSH,UNDER,
2024,7,2024_07_LV_LA,2024-10-20,LV,LA,43.0,35,8.0,43.0,PUSH,UNDER,
2024,7,2024_07_MIA_IND,2024-10-20,MIA,IND,44.0,26,18.0,44.0,PUSH,UNDER,
2024,7,2024_07_NE_JAX,2024-10-20,NE,JAX,42.0,48,6.0,42.0,PUSH,OVER,
2024,7,2024_07_NYJ_PIT,2024-10-20,NYJ,PIT,40.0,52,12.0,40.0,PUSH,OVER,
2024,7,2024_07_PHI_NYG,2024-10-20,PHI,NYG,42.0,31,11.0,42.0,PUSH,UNDER,
2024,7,2024_07_SEA_ATL,2024-10-20,SEA,ATL,51.5,48,3.5,51.5,PUSH,UNDER,
2024,7,2024_07_TEN_BUF,2024-10-20,TEN,BUF,41.0,44,3.0,41.0,PUSH,OVER,
2024,7,2024_07_BAL_TB,2024-10-21,BAL,TB,51.0,72,21.0,51.0,PUSH,OVER,
2024,7,2024_07_LAC_ARI,2024-10-21,LAC,ARI,44.0,32,12.0,44.0,PUSH,UNDER,
2024,8,2024_08_MIN_LA,2024-10-24,MIN,LA,47.5,50,2.5,47.5,PUSH,OVER,
2024,8,2024_08_ARI_MIA,2024-10-27,ARI,MIA,46.5,55,8.5,46.5,PUSH,OVER,
2024,8,2024_08_ATL_TB,2024-10-27,ATL,TB,47.0,57,10.0,47.0,PUSH,OVER,
2024,8,2024_08_BAL_CLE,2024-10-27,BAL,CLE,44.5,53,8.5,44.5,PUSH,OVER,
2024,8,2024_08_BUF_SEA,2024-10-27,BUF,SEA,45.5,41,4.5,45.5,PUSH,UNDER,
2024,8,2024_08_CAR_DEN,2024-10-27,CAR,DEN,40.5,42,1.5,40.5,PUSH,OVER,
2024,8,2024_08_CHI_WAS,2024-10-27,CHI,WAS,46.5,33,13.5,46.5,PUSH,UNDER,
2024,8,2024_08_DAL_SF,2024-10-27,DAL,SF,48.0,54,6.0,48.0,PUSH,OVER,
2024,8,2024_08_GB_JAX,2024-10-27,GB,JAX,49.0,57,8.0,49.0,PUSH,OVER,
2024,8,2024_08_IND_HOU,2024-10-27,IND,HOU,45.0,43,2.0,45.0,PUSH,UNDER,
2024,8,2024_08_KC_LV,2024-10-27,KC,LV,42.0,47,5.0,42.0,PUSH,OVER,
2024,8,2024_08_NO_LAC,2024-10-27,NO,LAC,41.5,34,7.5,41.5,PUSH,UNDER,
2024,8,2024_08_NYJ_NE,2024-10-27,NYJ,NE,41.0,47,6.0,41.0,PUSH,OVER,
2024,8,2024_08_PHI_CIN,2024-10-27,PHI,CIN,47.5,54,6.5,47.5,PUSH,OVER,
2024,8,2024_08_TEN_DET,2024-10-27,TEN,DET,45.0,66,21.0,45.0,PUSH,OVER,
2024,8,2024_08_NYG_PIT,2024-10-28,NYG,PIT,37.5,44,6.5,37.5,PUSH,OVER,
2024,9,2024_09_HOU_NYJ,2024-10-31,HOU,NYJ,43.5,34,9.5,43.5,PUSH,UNDER,
2024,9,2024_09_CHI_ARI,2024-11-03,CHI,ARI,44.5,38,6.5,44.5,PUSH,UNDER,
2024,9,2024_09_DAL_ATL,2024-11-03,DAL,ATL,52.0,48,4.0,52.0,PUSH,UNDER,
2024,9,2024_09_DEN_BAL,2024-11-03,DEN,BAL,46.5,51,4.5,46.5,PUSH,OVER,
2024,9,2024_09_DET_GB,2024-11-03,DET,GB,47.5,38,9.5,47.5,PUSH,UNDER,
2024,9,2024_09_IND_MIN,2024-11-03,IND,MIN,47.0,34,13.0,47.0,PUSH,UNDER,
2024,9,2024_09_JAX_PHI,2024-11-03,JAX,PHI,46.0,51,5.0,46.0,PUSH,OVER,
2024,9,2024_09_LA_SEA,2024-11-03,LA,SEA,48.5,46,2.5,48.5,PUSH,UNDER,
2024,9,2024_09_LAC_CLE,2024-11-03,LAC,CLE,42.5,37,5.5,42.5,PUSH,UNDER,
2024,9,2024_09_LV_CIN,2024-11-03,LV,CIN,45.0,65,20.0,45.0,PUSH,OVER,
2024,9,2024_09_MIA_BUF,2024-11-03,MIA,BUF,49.0,57,8.0,49.0,PUSH,OVER,
2024,9,2024_09_NE_TEN,2024-11-03,NE,TEN,38.5,37,1.5,38.5,PUSH,UNDER,
2024,9,2024_09_NO_CAR,2024-11-03,NO,CAR,43.5,45,1.5,43.5,PUSH,OVER,
2024,9,2024_09_WAS_NYG,2024-11-03,WAS,NYG,44.5,49,4.5,44.5,PUSH,OVER,
2024,9,2024_09_TB_KC,2024-11-04,TB,KC,45.5,54,8.5,45.5,PUSH,OVER,
2024,10,2024_10_CIN_BAL,2024-11-07,CIN,BAL,53.0,69,16.0,53.0,PUSH,OVER,
2024,10,2024_10_ATL_NO,2024-11-10,ATL,NO,46.5,37,9.5,46.5,PUSH,UNDER,
2024,10,2024_10_BUF_IND,2024-11-10,BUF,IND,46.5,50,3.5,46.5,PUSH,OVER,
2024,10,2024_10_DEN_KC,2024-11-10,DEN,KC,42.5,30,12.5,42.5,PUSH,UNDER,
2024,10,2024_10_DET_HOU,2024-11-10,DET,HOU,49.0,49,0.0,49.0,PUSH,PUSH,
2024,10,2024_10_MIN_JAX,2024-11-10,MIN,JAX,42.5,19,23.5,42.5,PUSH,UNDER,
2024,10,2024_10_NE_CHI,2024-11-10,NE,CHI,37.5,22,15.5,37.5,PUSH,UNDER,
2024,10,2024_10_NYG_CAR,2024-11-10,NYG,CAR,40.5,37,3.5,40.5,PUSH,UNDER,
2024,10,2024_10_NYJ_ARI,2024-11-10,NYJ,ARI,45.5,37,8.5,45.5,PUSH,UNDER,
2024,10,2024_10_PHI_DAL,2024-11-10,PHI,DAL,44.5,40,4.5,44.5,PUSH,UNDER,
2024,10,2024_10_PIT_WAS,2024-11-10,PIT,WAS,45.0,55,10.0,45.0,PUSH,OVER,
2024,10,2024_10_SF_TB,2024-11-10,SF,TB,50.5,43,7.5,50.5,PUSH,UNDER,
2024,10,2024_10_TEN_LAC,2024-11-10,TEN,LAC,40.0,44,4.0,40.0,PUSH,OVER,
2024,10,2024_10_MIA_LA,2024-11-11,MIA,LA,49.5,38,11.5,49.5,PUSH,UNDER,
2024,11,2024_11_WAS_PHI,2024-11-14,WAS,PHI,49.5,44,5.5,49.5,PUSH,UNDER,
2024,11,2024_11_ATL_DEN,2024-11-17,ATL,DEN,44.5,44,0.5,44.5,PUSH,UNDER,
2024,11,2024_11_BAL_PIT,2024-11-17,BAL,PIT,48.0,34,14.0,48.0,PUSH,UNDER,
2024,11,2024_11_CIN_LAC,2024-11-17,CIN,LAC,48.0,61,13.0,48.0,PUSH,OVER,
2024,11,2024_11_CLE_NO,2024-11-17,CLE,NO,44.0,49,5.0,44.0,PUSH,OVER,
2024,11,2024_11_GB_CHI,2024-11-17,GB,CHI,41.0,39,2.0,41.0,PUSH,UNDER,
2024,11,2024_11_IND_NYJ,2024-11-17,IND,NYJ,43.0,55,12.0,43.0,PUSH,OVER,
2024,11,2024_11_JAX_DET,2024-11-17,JAX,DET,47.5,58,10.5,47.5,PUSH,OVER,
2024,11,2024_11_KC_BUF,2024-11-17,KC,BUF,46.5,51,4.5,46.5,PUSH,OVER,
2024,11,2024_11_LA_NE,2024-11-17,LA,NE,42.5,50,7.5,42.5,PUSH,OVER,
2024,11,2024_11_LV_MIA,2024-11-17,LV,MIA,43.5,53,9.5,43.5,PUSH,OVER,
2024,11,2024_11_MIN_TEN,2024-11-17,MIN,TEN,40.0,36,4.0,40.0,PUSH,UNDER,
2024,11,2024_11_SEA_SF,2024-11-17,SEA,SF,49.0,37,12.0,49.0,PUSH,UNDER,
2024,11,2024_11_HOU_DAL,2024-11-18,HOU,DAL,41.5,44,2.5,41.5,PUSH,OVER,
2024,12,2024_12_PIT_CLE,2024-11-21,PIT,CLE,36.5,43,6.5,36.5,PUSH,OVER,
2024,12,2024_12_ARI_SEA,2024-11-24,ARI,SEA,46.5,22,24.5,46.5,PUSH,UNDER,
2024,12,2024_12_DAL_WAS,2024-11-24,DAL,WAS,45.0,60,15.0,45.0,PUSH,OVER,
2024,12,2024_12_DEN_LV,2024-11-24,DEN,LV,41.5,48,6.5,41.5,PUSH,OVER,
2024,12,2024_12_DET_IND,2024-11-24,DET,IND,50.5,30,20.5,50.5,PUSH,UNDER,
2024,12,2024_12_KC_CAR,2024-11-24,KC,CAR,43.0,57,14.0,43.0,PUSH,OVER,
2024,12,2024_12_MIN_CHI,2024-11-24,MIN,CHI,39.5,57,17.5,39.5,PUSH,OVER,
2024,12,2024_12_NE_MIA,2024-11-24,NE,MIA,46.0,49,3.0,46.0,PUSH,OVER,
2024,12,2024_12_PHI_LA,2024-11-24,PHI,LA,49.0,57,8.0,49.0,PUSH,OVER,
2024,12,2024_12_SF_GB,2024-11-24,SF,GB,44.5,48,3.5,44.5,PUSH,OVER,
2024,12,2024_12_TB_NYG,2024-11-24,TB,NYG,40.5,37,3.5,40.5,PUSH,UNDER,
2024,12,2024_12_TEN_HOU,2024-11-24,TEN,HOU,40.5,59,18.5,40.5,PUSH,OVER,
2024,12,2024_12_BAL_LAC,2024-11-25,BAL,LAC,51.0,53,2.0,51.0,PUSH,OVER,
2024,13,2024_13_CHI_DET,2024-11-28,CHI,DET,47.5,43,4.5,47.5,PUSH,UNDER,
2024,13,2024_13_MIA_GB,2024-11-28,MIA,GB,47.5,47,0.5,47.5,PUSH,UNDER,
2024,13,2024_13_NYG_DAL,2024-11-28,NYG,DAL,39.0,47,8.0,39.0,PUSH,OVER,
2024,13,2024_13_LV_KC,2024-11-29,LV,KC,42.0,36,6.0,42.0,PUSH,UNDER,
2024,13,2024_13_ARI_MIN,2024-12-01,ARI,MIN,45.5,45,0.5,45.5,PUSH,UNDER,
2024,13,2024_13_HOU_JAX,2024-12-01,HOU,JAX,44.5,43,1.5,44.5,PUSH,UNDER,
2024,13,2024_13_IND_NE,2024-12-01,IND,NE,41.5,49,7.5,41.5,PUSH,OVER,
2024,13,2024_13_LA_NO,2024-12-01,LA,NO,48.5,35,13.5,48.5,PUSH,UNDER,
2024,13,2024_13_LAC_ATL,2024-12-01,LAC,ATL,47.0,30,17.0,47.0,PUSH,UNDER,
2024,13,2024_13_PHI_BAL,2024-12-01,PHI,BAL,50.0,43,7.0,50.0,PUSH,UNDER,
2024,13,2024_13_PIT_CIN,2024-12-01,PIT,CIN,46.0,82,36.0,46.0,PUSH,OVER,
2024,13,2024_13_SEA_NYJ,2024-12-01,SEA,NYJ,41.5,47,5.5,41.5,PUSH,OVER,
2024,13,2024_13_SF_BUF,2024-12-01,SF,BUF,45.0,45,0.0,45.0,PUSH,PUSH,
2024,13,2024_13_TB_CAR,2024-12-01,TB,CAR,46.0,49,3.0,46.0,PUSH,OVER,
2024,13,2024_13_TEN_WAS,2024-12-01,TEN,WAS,45.0,61,16.0,45.0,PUSH,OVER,
2024,13,2024_13_CLE_DEN,2024-12-02,CLE,DEN,41.5,73,31.5,41.5,PUSH,OVER,
2024,14,2024_14_GB_DET,2024-12-05,GB,DET,53.0,65,12.0,53.0,PUSH,OVER,
2024,14,2024_14_ATL_MIN,2024-12-08,ATL,MIN,46.5,63,16.5,46.5,PUSH,OVER,
2024,14,2024_14_BUF_LA,2024-12-08,BUF,LA,49.5,86,36.5,49.5,PUSH,OVER,
2024,14,2024_14_CAR_PHI,2024-12-08,CAR,PHI,44.5,38,6.5,44.5,PUSH,UNDER,
2024,14,2024_14_CHI_SF,2024-12-08,CHI,SF,43.5,51,7.5,43.5,PUSH,OVER,
2024,14,2024_14_CLE_PIT,2024-12-08,CLE,PIT,43.0,41,2.0,43.0,PUSH,UNDER,
2024,14,2024_14_JAX_TEN,2024-12-08,JAX,TEN,40.0,16,24.0,40.0,PUSH,UNDER,
2024,14,2024_14_LAC_KC,2024-12-08,LAC,KC,43.5,36,7.5,43.5,PUSH,UNDER,
2024,14,2024_14_LV_TB,2024-12-08,LV,TB,47.0,41,6.0,47.0,PUSH,UNDER,
2024,14,2024_14_NO_NYG,2024-12-08,NO,NYG,41.0,25,16.0,41.0,PUSH,UNDER,
2024,14,2024_14_NYJ_MIA,2024-12-08,NYJ,MIA,45.0,58,13.0,45.0,PUSH,OVER,
2024,14,2024_14_SEA_ARI,2024-12-08,SEA,ARI,45.5,48,2.5,45.5,PUSH,OVER,
2024,14,2024_14_CIN_DAL,2024-12-09,CIN,DAL,51.0,47,4.0,51.0,PUSH,UNDER,
2024,15,2024_15_LA_SF,2024-12-12,LA,SF,48.5,18,30.5,48.5,PUSH,UNDER,
2024,15,2024_15_BAL_NYG,2024-12-15,BAL,NYG,43.5,49,5.5,43.5,PUSH,OVER,
2024,15,2024_15_BUF_DET,2024-12-15,BUF,DET,55.5,90,34.5,55.5,PUSH,OVER,
2024,15,2024_15_CIN_TEN,2024-12-15,CIN,TEN,46.5,64,17.5,46.5,PUSH,OVER,
2024,15,2024_15_DAL_CAR,2024-12-15,DAL,CAR,42.0,44,2.0,42.0,PUSH,OVER,
2024,15,2024_15_GB_SEA,2024-12-15,GB,SEA,48.0,43,5.0,48.0,PUSH,UNDER,
2024,15,2024_15_IND_DEN,2024-12-15,IND,DEN,43.5,44,0.5,43.5,PUSH,OVER,
2024,15,2024_15_KC_CLE,2024-12-15,KC,CLE,41.5,28,13.5,41.5,PUSH,UNDER,
2024,15,2024_15_MIA_HOU,2024-12-15,MIA,HOU,46.5,32,14.5,46.5,PUSH,UNDER,
2024,15,2024_15_NE_ARI,2024-12-15,NE,ARI,46.5,47,0.5,46.5,PUSH,OVER,
2024,15,2024_15_NYJ_JAX,2024-12-15,NYJ,JAX,41.5,57,15.5,41.5,PUSH,OVER,
2024,15,2024_15_PIT_PHI,2024-12-15,PIT,PHI,43.0,40,3.0,43.0,PUSH,UNDER,
2024,15,2024_15_TB_LAC,2024-12-15,TB,LAC,46.0,57,11.0,46.0,PUSH,OVER,
2024,15,2024_15_WAS_NO,2024-12-15,WAS,NO,44.5,39,5.5,44.5,PUSH,UNDER,
2024,15,2024_15_ATL_LV,2024-12-16,ATL,LV,44.5,24,20.5,44.5,PUSH,UNDER,
2024,15,2024_15_CHI_MIN,2024-12-16,CHI,MIN,43.5,42,1.5,43.5,PUSH,UNDER,
2024,16,2024_16_DEN_LAC,2024-12-19,DEN,LAC,41.5,61,19.5,41.5,PUSH,OVER,
