bias,mae,rmse,win_pct,vegas_win_pct,delta_pct,wins_vs_vegas,vegas_wins,ties
-8.0,12.8559,15.8336,33.21,66.79,-33.58,361,726,0
-7.9,12.8054,15.7833,33.49,66.51,-33.02,364,723,0
-7.8,12.7555,15.7334,33.67,66.33,-32.66,366,721,0
-7.7,12.7059,15.6841,33.85,66.15,-32.3,368,719,0
-7.6,12.6566,15.6353,34.13,65.87,-31.74,371,716,0
-7.5,12.6076,15.5869,34.13,65.87,-31.74,371,716,0
-7.4,12.5596,15.539,34.04,65.96,-31.92,370,717,0
-7.3,12.512,15.4917,34.22,65.78,-31.56,372,715,0
-7.2,12.4655,15.4448,34.5,65.5,-31.0,375,712,0
-7.1,12.4201,15.3984,34.41,65.59,-31.18,374,713,0
-7.0,12.375,15.3526,34.5,65.5,-31.0,375,712,0
-6.9,12.3306,15.3072,34.59,65.41,-30.82,376,711,0
-6.8,12.2867,15.2624,34.77,65.23,-30.46,378,709,0
-6.7,12.2434,15.2181,35.05,64.95,-29.9,381,706,0
-6.6,12.2005,15.1744,35.42,64.58,-29.16,385,702,0
-6.5,12.158,15.1311,35.6,64.4,-28.8,387,700,0
-6.4,12.1157,15.0884,35.69,64.31,-28.62,388,699,0
-6.3,12.0735,15.0463,35.97,64.03,-28.06,391,696,0
-6.2,12.0314,15.0047,36.25,63.75,-27.5,394,693,0
-6.1,11.99,14.9637,36.34,63.66,-27.32,395,692,0
-6.0,11.9491,14.9232,36.43,63.57,-27.14,396,691,0
-5.9,11.9093,14.8832,36.61,63.39,-26.78,398,689,0
-5.8,11.8701,14.8439,36.8,63.2,-26.4,400,687,0
-5.7,11.8313,14.8051,37.17,62.83,-25.66,404,683,0
-5.6,11.7932,14.7669,37.17,62.83,-25.66,404,683,0
-5.5,11.7558,14.7293,37.07,62.93,-25.86,403,684,0
-5.4,11.7185,14.6922,37.17,62.83,-25.66,404,683,0
-5.3,11.6813,14.6557,37.17,62.83,-25.66,404,683,0
-5.2,11.6447,14.6199,37.35,62.65,-25.3,406,681,0
-5.1,11.6084,14.5846,38.09,61.91,-23.82,414,673,0
-5.0,11.5723,14.5499,37.81,62.19,-24.38,411,676,0
-4.9,11.5367,14.5159,37.9,62.1,-24.2,412,675,0
-4.8,11.5016,14.4824,37.99,62.01,-24.02,413,674,0
-4.7,11.4674,14.4496,37.81,62.19,-24.38,411,676,0
