season,week,week_label,game_id,target_spread,vegas_spread,abs_vegas_spread,baseline_spread,recommended_method,recommended_spread,vegas_err,baseline_err,recommended_err,err_improvement,baseline_vs_vegas,recommended_vs_vegas
2025,4,2025-W04,2025_04_NO_BUF,-12.0,-15.5,15.5,11.5133,linear,-7.3212,3.5,23.5133,4.6788,18.8345,vegas_better,vegas_better
2025,8,2025-W08,2025_08_TEN_IND,-24.0,-15.5,15.5,18.1026,linear,-10.6475,8.5,42.1026,13.3525,28.75,vegas_better,vegas_better
2025,16,2025-W16,2025_16_LV_HOU,-2.0,14.5,14.5,-24.1878,linear,10.7007,16.5,22.1878,12.7007,9.4871,vegas_better,ai_better
2025,6,2025-W06,2025_06_CIN_GB,-9.0,-14.0,14.0,6.5013,linear,-4.7911,5.0,15.5013,4.2089,11.2924,vegas_better,ai_better
2025,9,2025-W09,2025_09_NO_LA,-24.0,-14.0,14.0,6.5013,linear,-4.7911,10.0,30.5013,19.2089,11.2924,vegas_better,vegas_better
2025,12,2025-W12,2025_12_NYJ_BAL,-13.0,-14.0,14.0,6.5013,linear,-4.7911,1.0,19.5013,8.2089,11.2924,vegas_better,vegas_better
2025,12,2025-W12,2025_12_NYG_DET,-7.0,-14.0,14.0,12.3202,linear,-7.7286,7.0,19.3202,0.7286,18.5917,vegas_better,ai_better
2025,7,2025-W07,2025_07_LV_KC,-31.0,-13.5,13.5,5.8217,linear,-4.4481,17.5,36.8217,26.5519,10.2698,vegas_better,vegas_better
2025,9,2025-W09,2025_09_CAR_GB,3.0,-12.5,12.5,4.688,linear,-3.8758,15.5,1.688,6.8758,-5.1878,ai_better,ai_better
2025,11,2025-W11,2025_11_NYJ_NE,-13.0,-12.5,12.5,4.688,linear,-3.8758,0.5,17.688,9.1242,8.5638,vegas_better,vegas_better
2025,13,2025-W13,2025_13_MIN_SEA,-26.0,-12.5,12.5,10.7715,linear,-6.9468,13.5,36.7715,19.0532,17.7183,vegas_better,vegas_better
2025,2,2025-W02,2025_02_CLE_BAL,-24.0,-12.5,12.5,11.4502,linear,-7.2893,11.5,35.4502,16.7107,18.7395,vegas_better,vegas_better
2025,12,2025-W12,2025_12_SEA_TEN,6.0,12.5,12.5,-20.4613,linear,8.8195,6.5,26.4613,2.8195,23.6417,vegas_better,ai_better
2025,3,2025-W03,2025_03_MIA_BUF,-10.0,-12.5,12.5,18.9391,linear,-11.0698,2.5,28.9391,1.0698,27.8693,vegas_better,ai_better
2025,16,2025-W16,2025_16_BUF_CLE,3.0,-10.5,10.5,4.3044,linear,-3.6822,13.5,1.3044,6.6822,-5.3778,ai_better,ai_better
2025,5,2025-W05,2025_05_DET_CIN,13.0,10.5,10.5,-5.8954,linear,1.4667,2.5,18.8954,11.5333,7.3621,vegas_better,vegas_better
2025,8,2025-W08,2025_08_WAS_KC,-21.0,-10.5,10.5,5.5061,linear,-4.2888,10.5,26.5061,16.7112,9.7949,vegas_better,vegas_better
2025,13,2025-W13,2025_13_LA_CAR,-3.0,10.0,10.0,-15.1966,linear,6.162,13.0,12.1966,9.162,3.0347,ai_better,ai_better
2025,9,2025-W09,2025_09_LAC_TEN,7.0,10.0,10.0,-15.1966,linear,6.162,3.0,22.1966,0.838,21.3586,vegas_better,ai_better
2025,13,2025-W13,2025_13_LV_LAC,-17.0,-10.0,10.0,13.7137,linear,-8.432,7.0,30.7137,8.568,22.1457,vegas_better,vegas_better
2025,4,2025-W04,2025_04_CLE_DET,-24.0,-10.0,10.0,16.0691,linear,-9.621,14.0,40.0691,14.379,25.6901,vegas_better,vegas_better
